a_image_name,pano_id,date,lat,lng,block_group_code
p1r00001.jpg,WXo42GE_sOEe2TIYjSdzDw,2018-07,41.99819573,-87.66425766,170310105031.00
p1r00002.jpg,WXo42GE_sOEe2TIYjSdzDw,2018-07,41.99819573,-87.66425766,170310105031.00
p1r00003.jpg,x90nkFjgAj1jsiUEuTDajw,2018-10,41.99814204,-87.66388702,170310105031.00
p1r00004.jpg,x90nkFjgAj1jsiUEuTDajw,2018-10,41.99814204,-87.66388702,170310105031.00
p1r00005.jpg,678XbB9KlkV1cZJnizTjOA,2018-10,42.01414177,-87.69016278,170310201001.00
p1r00006.jpg,678XbB9KlkV1cZJnizTjOA,2018-10,42.01414177,-87.69016278,170310201001.00
p1r00007.jpg,fC7xRDMRnsBZ6owiJ36nKA,2018-10,42.01463639,-87.69015979,170310201001.00
p1r00008.jpg,fC7xRDMRnsBZ6owiJ36nKA,2018-10,42.01463639,-87.69015979,170310201001.00
p1r00009.jpg,GV86VVwYTbwqN2yLdd6bFg,2018-10,42.01936847,-87.69761431,170310202004.00
p1r00010.jpg,GV86VVwYTbwqN2yLdd6bFg,2018-10,42.01936847,-87.69761431,170310202004.00
p1r00011.jpg,icdMpz4ZWuUFRyYBhIPr9Q,2018-10,42.01935129,-87.69833754,170310202004.00
p1r00012.jpg,icdMpz4ZWuUFRyYBhIPr9Q,2018-10,42.01935129,-87.69833754,170310202004.00
p1r00013.jpg,J_Lk7p_-zh2KsWUKQ1D7iw,2018-10,42.00487075,-87.6980081,170310203022.00
p1r00014.jpg,J_Lk7p_-zh2KsWUKQ1D7iw,2018-10,42.00487075,-87.6980081,170310203022.00
p1r00015.jpg,uv_9MCunRgDyPXj8B0HqXg,2018-10,42.0048479,-87.6993404,170310203022.00
p1r00016.jpg,uv_9MCunRgDyPXj8B0HqXg,2018-10,42.0048479,-87.6993404,170310203022.00
p1r00017.jpg,BlFAOsX7q9lA3EcGqJN-cQ,2018-10,42.01079406,-87.6901415,170310204001.00
p1r00018.jpg,BlFAOsX7q9lA3EcGqJN-cQ,2018-10,42.01079406,-87.6901415,170310204001.00
p1r00019.jpg,cSy6gjFdRvqFzquKBEsvHg,2018-10,42.01052427,-87.69014116,170310204001.00
p1r00020.jpg,cSy6gjFdRvqFzquKBEsvHg,2018-10,42.01052427,-87.69014116,170310204001.00
p1r00021.jpg,cRhgeBBaBpBzdREh24nPAA,2018-08,41.99043188,-87.69276048,170310208014.00
p1r00022.jpg,cRhgeBBaBpBzdREh24nPAA,2018-08,41.99043188,-87.69276048,170310208014.00
p1r00023.jpg,s3JU1-MTYBVSdDaxGT9epw,2018-08,41.99042895,-87.69300245,170310208014.00
p1r00024.jpg,s3JU1-MTYBVSdDaxGT9epw,2018-08,41.99042895,-87.69300245,170310208014.00
p1r00025.jpg,ijwKvFUcMa1XJJQVeh9eEA,2018-10,41.99052285,-87.69184526,170310208021.00
p1r00026.jpg,ijwKvFUcMa1XJJQVeh9eEA,2018-10,41.99052285,-87.69184526,170310208021.00
p1r00027.jpg,n2xoyoHmyFerJAqCW4LgVQ,2018-10,41.9905347,-87.69106,170310208021.00
p1r00028.jpg,n2xoyoHmyFerJAqCW4LgVQ,2018-10,41.9905347,-87.69106,170310208021.00
p1r00029.jpg,FpyMCSQ8QwaIg63K4SohBw,2018-10,41.99522798,-87.65556985,170310301032.00
p1r00030.jpg,FpyMCSQ8QwaIg63K4SohBw,2018-10,41.99522798,-87.65556985,170310301032.00
p1r00031.jpg,ky_eBZoVTiU2Q7KZx0BJjQ,2018-10,41.99481114,-87.6555393,170310301032.00
p1r00032.jpg,ky_eBZoVTiU2Q7KZx0BJjQ,2018-10,41.99481114,-87.6555393,170310301032.00
