a_image_name,b_block_id,c_pano_id,date,lat,lng,geoid10,GroupCount,mean_pcnt_road,mean_pcnt_sidewalk,mean_pcnt_building,mean_pcnt_wall,mean_pcnt_fence,mean_pcnt_pole,mean_pcnt_traffic_light,mean_pcnt_traffic_sign,mean_pcnt_vegetation,mean_pcnt_terrain,mean_pcnt_sky,mean_pcnt_person,mean_pcnt_rider,mean_pcnt_car,mean_pcnt_truck,mean_pcnt_bus,mean_pcnt_train,mean_pcnt_motorcycle,mean_pcnt_bicycle,mean_pcnt_unlabeled
p1r00001.jpg,1.7031E+14,WXo42GE_sOEe2TIYjSdzDw,2018-07,41.99819573,-87.66425766,1.7031E+14,4,0.292609049,0.085805664,0.133623047,0.000554199,0.007385254,0.010205078,9.76563E-05,0.006903483,0.151673177,0.016788737,0.251762695,0.003076986,0.000110677,0.018383789,0.00745931,0.000247396,0,2.68555E-05,0.00105957,0.012227376
p1r00002.jpg,1.7031E+14,WXo42GE_sOEe2TIYjSdzDw,2018-07,41.99819573,-87.66425766,1.7031E+14,4,0.292609049,0.085805664,0.133623047,0.000554199,0.007385254,0.010205078,9.76563E-05,0.006903483,0.151673177,0.016788737,0.251762695,0.003076986,0.000110677,0.018383789,0.00745931,0.000247396,0,2.68555E-05,0.00105957,0.012227376
p1r00003.jpg,1.7031E+14,x90nkFjgAj1jsiUEuTDajw,2018-10,41.99814204,-87.66388702,1.7031E+14,4,0.247512207,0.034953613,0.272980957,0,0.016845703,0.013694661,0.000250651,0.002399089,0.164777832,0.012482096,0.151267904,0.001951497,0,0.072752279,0.000737305,4.06901E-05,0,0,9.27734E-05,0.007260742
p1r00004.jpg,1.7031E+14,x90nkFjgAj1jsiUEuTDajw,2018-10,41.99814204,-87.66388702,1.7031E+14,4,0.247512207,0.034953613,0.272980957,0,0.016845703,0.013694661,0.000250651,0.002399089,0.164777832,0.012482096,0.151267904,0.001951497,0,0.072752279,0.000737305,4.06901E-05,0,0,9.27734E-05,0.007260742
p1r00005.jpg,1.7031E+14,678XbB9KlkV1cZJnizTjOA,2018-10,42.01414177,-87.69016278,1.7031E+14,4,0.301224772,0.039536947,0.05025472,0.000381673,0.01114502,0.010079753,0.000153809,0.003499349,0.209458822,0.034311523,0.268623861,0.00014974,0,0.050565592,0.000729167,0.000594076,0,0,0,0.019291178
p1r00006.jpg,1.7031E+14,678XbB9KlkV1cZJnizTjOA,2018-10,42.01414177,-87.69016278,1.7031E+14,4,0.301224772,0.039536947,0.05025472,0.000381673,0.01114502,0.010079753,0.000153809,0.003499349,0.209458822,0.034311523,0.268623861,0.00014974,0,0.050565592,0.000729167,0.000594076,0,0,0,0.019291178
p1r00007.jpg,1.7031E+14,fC7xRDMRnsBZ6owiJ36nKA,2018-10,42.01463639,-87.69015979,1.7031E+14,4,0.272486165,0.064742025,0.07935791,0.000128581,0.017218424,0.006937663,0.000782064,0.005080566,0.16489502,0.020136719,0.299609375,0.000119629,0,0.052989909,0.000384928,0,0,0,0,0.015131022
p1r00008.jpg,1.7031E+14,fC7xRDMRnsBZ6owiJ36nKA,2018-10,42.01463639,-87.69015979,1.7031E+14,4,0.272486165,0.064742025,0.07935791,0.000128581,0.017218424,0.006937663,0.000782064,0.005080566,0.16489502,0.020136719,0.299609375,0.000119629,0,0.052989909,0.000384928,0,0,0,0,0.015131022
p1r00009.jpg,1.7031E+14,GV86VVwYTbwqN2yLdd6bFg,2018-10,42.01936847,-87.69761431,1.7031E+14,4,0.166113281,0.100566406,0.194797363,0.00012207,0.017271322,0.008423665,0.000283203,0.003500977,0.075836589,0.002314453,0.295078125,0.000460612,0,0.119890137,0.001641439,0.0040625,0,0,4.31315E-05,0.009594727
p1r00010.jpg,1.7031E+14,GV86VVwYTbwqN2yLdd6bFg,2018-10,42.01936847,-87.69761431,1.7031E+14,4,0.166113281,0.100566406,0.194797363,0.00012207,0.017271322,0.008423665,0.000283203,0.003500977,0.075836589,0.002314453,0.295078125,0.000460612,0,0.119890137,0.001641439,0.0040625,0,0,4.31315E-05,0.009594727
